epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,369.887,1.06722,1.60724,0.78768,0.99509,0.65104,0.59323,0.57064,0.43392,0.63622,0.57619,0.55011,0.34647,1.07689,1.76511,0.86879,1.0519,0.00161914,0.00161914,0.00161914
31,382.217,1.07245,1.62655,0.75048,0.96955,0.53618,0.66043,0.5922,0.4622,0.52342,0.64197,0.57481,0.3754,1.02157,1.72734,0.81443,1.03839,0.00161749,0.00161749,0.00161749
32,394.606,1.03394,1.56985,0.72498,0.97327,0.81147,0.51352,0.58941,0.45739,0.80141,0.49789,0.57177,0.37093,1.04893,1.74378,0.85039,1.04255,0.00161584,0.00161584,0.00161584
33,406.686,1.01368,1.54659,0.74944,0.98392,0.76652,0.60777,0.62174,0.49494,0.75616,0.59168,0.60599,0.41451,1.0317,1.72396,0.80981,1.03198,0.00161419,0.00161419,0.00161419
34,419.176,1.00277,1.50622,0.75109,0.97971,0.41443,0.5928,0.51213,0.38548,0.40146,0.58064,0.49635,0.30494,1.0592,1.69486,0.84459,1.05254,0.00161254,0.00161254,0.00161254
35,431.173,0.99909,1.47065,0.72968,0.95553,0.62675,0.5929,0.59146,0.46112,0.61794,0.57692,0.57546,0.36422,1.00952,1.67657,0.85264,1.01878,0.00161089,0.00161089,0.00161089
36,443.306,0.98678,1.47456,0.73666,0.9471,0.60879,0.61667,0.55993,0.42948,0.59467,0.5982,0.54274,0.35405,1.04047,1.6647,0.8172,1.04008,0.00160924,0.00160924,0.00160924
37,455.549,1.01608,1.50789,0.75227,0.96443,0.55698,0.49515,0.5301,0.40809,0.54959,0.48832,0.51788,0.34339,1.0217,1.67228,0.80706,1.03151,0.00160759,0.00160759,0.00160759
38,467.739,1.02221,1.54279,0.73103,0.97107,0.77564,0.53731,0.58687,0.45608,0.75958,0.52142,0.56389,0.35356,1.05884,1.69654,0.83664,1.05258,0.00160594,0.00160594,0.00160594
39,479.9,1.00565,1.49001,0.73255,0.96116,0.87385,0.56018,0.60778,0.45753,0.86343,0.54299,0.58681,0.3568,1.08734,1.66989,0.82242,1.04637,0.00160429,0.00160429,0.00160429
